iter	Logloss
0	0.5852236004
1	0.498691579
2	0.4314265538
3	0.3750312382
4	0.3262220598
5	0.2873637882
6	0.2522342269
7	0.2252484982
8	0.19789645
9	0.1781547482
10	0.1612716938
11	0.1486424527
12	0.1346688007
13	0.1242897784
14	0.1148059409
15	0.1069554951
16	0.1008629009
17	0.0953280289
18	0.09089688616
19	0.08712725757
20	0.08393610151
21	0.08115423162
22	0.07892466579
23	0.07678957549
24	0.07510200953
25	0.07362323808
26	0.07237276989
27	0.07128805362
28	0.0702474307
29	0.06940825585
30	0.06867841213
31	0.06804666435
32	0.06741368775
33	0.06684348219
34	0.06642723486
35	0.06601798375
36	0.06560189723
37	0.06522871487
38	0.06493106358
39	0.06468088322
40	0.06441553545
41	0.06417435431
42	0.06395804999
43	0.06378433855
44	0.06367714831
45	0.06352178935
46	0.06340848708
47	0.06329488453
48	0.06318626497
49	0.06308722645
50	0.06298304415
51	0.06288620215
52	0.06281591382
53	0.06275013177
54	0.06269014691
55	0.06263999539
56	0.06259067818
57	0.06255405901
58	0.06248828517
59	0.06245059666
60	0.06241772749
61	0.06237207474
62	0.06233221737
63	0.0623005281
64	0.06225762137
65	0.06222302788
66	0.0621963967
67	0.06215802026
68	0.06213783287
69	0.06211212743
70	0.06207011792
71	0.06205180865
72	0.06201769968
73	0.06199602624
74	0.06197566845
75	0.06194578401
76	0.06193075788
77	0.06191385036
78	0.06188082844
79	0.06185028778
80	0.06182904338
81	0.06181459834
82	0.06179256415
83	0.06177038303
84	0.06175176659
85	0.06173965774
86	0.06172543617
87	0.06170394694
88	0.06169389645
89	0.06168079848
90	0.06167228569
91	0.06164608757
92	0.0616381236
93	0.06161661986
94	0.06160690575
95	0.06159082301
96	0.06157088278
97	0.06156276255
98	0.06154909406
99	0.06153838286
100	0.06151878874
101	0.06151093994
102	0.06150265197
103	0.06149217534
104	0.06147268915
105	0.06146387944
106	0.06145429231
107	0.06144203664
108	0.06142957928
109	0.06142219855
110	0.06139964731
111	0.06139155844
112	0.06137929587
113	0.06136516465
114	0.06135439734
115	0.06134558476
116	0.06133011726
117	0.06131975947
118	0.06131298688
119	0.06130496647
120	0.06129679953
121	0.06128230454
122	0.06127065543
123	0.06126175011
124	0.06125213557
125	0.06124277149
126	0.06122985246
127	0.06122143461
128	0.06121585278
129	0.06120439391
130	0.06119702323
131	0.06118712726
132	0.06117889345
133	0.06117303477
134	0.06116441256
135	0.06115583092
136	0.06110751712
137	0.0611000639
138	0.06106475018
139	0.06105649568
140	0.06104819087
141	0.0610417897
142	0.06103411395
143	0.06103020783
144	0.06102286625
145	0.06101091489
146	0.06100584491
147	0.06099554949
148	0.06098974373
149	0.06096343152
150	0.0609579662
151	0.060949002
152	0.06094217661
153	0.06093576172
154	0.06092926909
155	0.0609212438
156	0.06091108228
157	0.06089648598
158	0.06089409989
159	0.06088540398
160	0.06087539364
161	0.06086880445
162	0.06086364974
163	0.06085859514
164	0.06085415372
165	0.06084793705
166	0.06084308522
167	0.06083829769
168	0.06083033032
169	0.06082275736
170	0.06081673715
171	0.06081337675
172	0.0608096317
173	0.06080371042
174	0.06080032183
175	0.06079375865
176	0.06078396742
177	0.0607773549
178	0.06076511241
179	0.06075716914
180	0.0607527914
181	0.06074831588
182	0.06073929795
183	0.06073366609
184	0.06072998117
185	0.06072390632
186	0.06071911157
187	0.06069745844
188	0.06069073783
189	0.06068613752
190	0.06067496262
191	0.06066901717
192	0.06066101748
193	0.06065539362
194	0.0606498265
195	0.06064361189
196	0.06063448592
197	0.06062780373
198	0.06062313843
199	0.06061910746
200	0.06061283412
201	0.06060482586
202	0.06060063998
203	0.0605929303
204	0.06058522766
205	0.06057665588
206	0.06057015775
207	0.06056491864
208	0.06055911526
209	0.06054898704
